answerKey,id,A,B,C,D,stem,Grade,subject,category
A,MEA_2013_5_5,"The animals in Group 1 cannot fly, and the animals in Group 2 can fly.","The animals in Group 1 are mammals, and the animals in Group 2 are not mammals.","The animals in Group 1 have feathers, and the animals in Group 2 do not have feathers.","The animals in Group 1 do not eat plants, and the animals in Group 2 do eat plants.",The table below shows two groups of organisms. {img:images/States2017/ME/ME_5thGr_2013-2014_7.png} How are the organisms sorted into two groups?,5,science,Dev
C,MEA_2014_5_10,The ancestor elephant has fur.,The ancestor elephant has a tail.,The present-day elephant has larger tusks.,The present-day elephant has smaller feet.,"The diagram below shows a present-day elephant and an ancestor of the elephant. {img:images/States2017/ME/ME_5thGr_2014-2015_5.png} Based on the diagram, what is a major difference between the two elephants?",5,science,Dev
D,MSA_2012_5_10,air to breathe,color to the body,water for energy,energy for growth,"Giant Spider Web Envelops Texas Park {img:images/States2017/MD/MD_5thGr_2012_3.png} Entomologists are debating the origin and rarity of a sprawling spider web that blankets several trees, shrubs and the ground along a 200-yard stretch of trail in a North Texas park. Officials at Lake Tawakoni State Park say the massive mosquito trap is a big attraction for some visitors, while others will not go anywhere near it. ""At first, it was so white it looked like fairyland,"" said Donna Garde, superintendent of the park about 45 miles east of Dallas. ""Now it's filled with so many mosquitoes that it's turned a little brown. There are times you can literally hear the screech of millions of mosquitoes caught in those webs."" Spider experts say the web may have been constructed by social cobweb spiders, which work together, or could be the result of a mass dispersal in which the arachnids spin webs to spread out from one another. ""I've been hearing from entomologists from Ohio, Kansas, British Columbia-all over the place,"" said Mike Quinn, an invertebrate biologist with the Texas Parks and Wildlife Department who first posted photos online. Herbert A. ""Joe"" Pase, a Texas Forest Service entomologist, said the massive web is very unusual. ""From what I'm hearing it could be a once-in-a-lifetime event,"" he said. But John Jackman, a professor and extension entomologist for Texas A&M University, said he hears reports of similar webs every couple of years. ""There are a lot of folks that don't realize spiders do that,"" said Jackman, author of ""A Field Guide to the Spiders and Scorpions of Texas."" ""Until we get some samples sent to us, we really won't know what species of spider we're talking about,"" Jackman said. Garde invited the entomologists out to the park to get a firsthand look at the giant web. ""Somebody needs to come out that's an expert. I would love to see some entomology intern come out and study this,"" she said. Park rangers said they expect the web to last until fall, when the spiders will start dying off. The mosquitoes trapped in the giant spider web are used by the spiders to provide",5,science,Dev
B,MSA_2012_5_25,flexibility,hardness,ability to conduct heat,ability to be attracted by magnets,"The Detroit Salt Mine Company began removing salt from the ground in 1906. This underground mine covers 6 square kilometers beneath the city of Detroit, Michigan. When the mine opened, people used the salt to preserve food, make glass, and tan leather goods. Today, people use the salt to melt ice on highways during winter storms. {img:images/States2017/MD/MD_5thGr_2012_9.png} A salt mine consists of several different rocks and minerals. Which physical property of rocks and minerals is most important when considering the support of the walls in the salt mine?",5,science,Dev
A,MSA_2012_5_26,Each occupies space and contains a definite amount of material.,Each occupies space and contains the same amount of material.,All occupy the same amount of space and contain a definite amount of material.,All occupy the same amount of space and contain the same amount of material.,"The Detroit Salt Mine Company began removing salt from the ground in 1906. This underground mine covers 6 square kilometers beneath the city of Detroit, Michigan. When the mine opened, people used the salt to preserve food, make glass, and tan leather goods. Today, people use the salt to melt ice on highways during winter storms. {img:images/States2017/MD/MD_5thGr_2012_9.png} Rocks and minerals are made of matter. Which statement best describes rocks and minerals as matter?",5,science,Dev
C,MSA_2012_5_27,The total mass increases.,The total mass decreases.,The total mass stays the same.,The total mass increases and then decreases.,"The Detroit Salt Mine Company began removing salt from the ground in 1906. This underground mine covers 6 square kilometers beneath the city of Detroit, Michigan. When the mine opened, people used the salt to preserve food, make glass, and tan leather goods. Today, people use the salt to melt ice on highways during winter storms. {img:images/States2017/MD/MD_5thGr_2012_9.png} When salt is mined, machines scrape the mine walls and change salt rocks into very tiny salt crystals. What happens to the mass of 1 kilogram of salt rocks when the rocks change into very tiny salt crystals?",5,science,Dev
B,MSA_2012_5_35,{img:images/States2017/MD/MD_5thGr_2012_15.png},{img:images/States2017/MD/MD_5thGr_2012_16.png},{img:images/States2017/MD/MD_5thGr_2012_17.png},{img:images/States2017/MD/MD_5thGr_2012_18.png},A kitten is looking directly into a mirror. Which drawing best shows the image of the kitten in the mirror?,5,science,Dev
D,MSA_2012_5_5,Physical likenesses are learned.,Physical features are not inherited in birds.,The brown-headed cowbird hatched before the other hatchlings.,The brown-headed cowbird is not related to the mother of the other hatchlings.,"Brown-headed cowbirds are small birds found throughout North American grasslands and along edges of forests. For food, the brown-headed cowbirds rely on grazing animals to uncover insects and seeds. When a female brown-headed cowbird sees eggs in the nest of another bird, she lays her own egg in the nest. She usually chooses nests with eggs that are smaller than hers. The other bird species then raises the brown headed cowbird hatchling. The brown-headed cowbird hatchling grows quickly and is larger than the other hatchlings in the nest. The brown-headed cowbird often lays eggs in the nest of the yellow warbler. The yellow warbler lives near forests, builds nests in trees and thick brush, and eats insects and fruit. {img:images/States2017/MD/MD_5thGr_2012_1.png} Why is the appearance of the brown-headed cowbird hatchling different from the other hatchlings in the nest?",5,science,Dev
A,MSA_2012_5_6,decrease due to decreased nesting areas,decrease due to an increased seed supply,increase due to a decreased number of insects,increase due to increased competition with other birds,"Brown-headed cowbirds are small birds found throughout North American grasslands and along edges of forests. For food, the brown-headed cowbirds rely on grazing animals to uncover insects and seeds. When a female brown-headed cowbird sees eggs in the nest of another bird, she lays her own egg in the nest. She usually chooses nests with eggs that are smaller than hers. The other bird species then raises the brown headed cowbird hatchling. The brown-headed cowbird hatchling grows quickly and is larger than the other hatchlings in the nest. The brown-headed cowbird often lays eggs in the nest of the yellow warbler. The yellow warbler lives near forests, builds nests in trees and thick brush, and eats insects and fruit. {img:images/States2017/MD/MD_5thGr_2012_1.png} The removal of trees from the habitat of the yellow warbler would most likely cause the population of brown-headed cowbirds to",5,science,Dev
B,MSA_2012_5_7,changed to waste,digested and used for energy,digested and stored for future use,changed to sugar by the energy of the sun,"Brown-headed cowbirds are small birds found throughout North American grasslands and along edges of forests. For food, the brown-headed cowbirds rely on grazing animals to uncover insects and seeds. When a female brown-headed cowbird sees eggs in the nest of another bird, she lays her own egg in the nest. She usually chooses nests with eggs that are smaller than hers. The other bird species then raises the brown headed cowbird hatchling. The brown-headed cowbird hatchling grows quickly and is larger than the other hatchlings in the nest. The brown-headed cowbird often lays eggs in the nest of the yellow warbler. The yellow warbler lives near forests, builds nests in trees and thick brush, and eats insects and fruit. {img:images/States2017/MD/MD_5thGr_2012_1.png} When a brown-headed cowbird eats seeds and insects, most of the food is",5,science,Dev
D,MSA_2012_5_8,learned from parents,selected by the offspring,caused by the environment,inherited from parents to offspring,"Giant Spider Web Envelops Texas Park {img:images/States2017/MD/MD_5thGr_2012_3.png} Entomologists are debating the origin and rarity of a sprawling spider web that blankets several trees, shrubs and the ground along a 200-yard stretch of trail in a North Texas park. Officials at Lake Tawakoni State Park say the massive mosquito trap is a big attraction for some visitors, while others will not go anywhere near it. ""At first, it was so white it looked like fairyland,"" said Donna Garde, superintendent of the park about 45 miles east of Dallas. ""Now it's filled with so many mosquitoes that it's turned a little brown. There are times you can literally hear the screech of millions of mosquitoes caught in those webs."" Spider experts say the web may have been constructed by social cobweb spiders, which work together, or could be the result of a mass dispersal in which the arachnids spin webs to spread out from one another. ""I've been hearing from entomologists from Ohio, Kansas, British Columbia-all over the place,"" said Mike Quinn, an invertebrate biologist with the Texas Parks and Wildlife Department who first posted photos online. Herbert A. ""Joe"" Pase, a Texas Forest Service entomologist, said the massive web is very unusual. ""From what I'm hearing it could be a once-in-a-lifetime event,"" he said. But John Jackman, a professor and extension entomologist for Texas A&M University, said he hears reports of similar webs every couple of years. ""There are a lot of folks that don't realize spiders do that,"" said Jackman, author of ""A Field Guide to the Spiders and Scorpions of Texas."" ""Until we get some samples sent to us, we really won't know what species of spider we're talking about,"" Jackman said. Garde invited the entomologists out to the park to get a firsthand look at the giant web. ""Somebody needs to come out that's an expert. I would love to see some entomology intern come out and study this,"" she said. Park rangers said they expect the web to last until fall, when the spiders will start dying off. The brown body color of the social cobweb spider is",5,science,Dev
C,MSA_2012_5_9,attract birds,change color,work together,live through the winter,"Giant Spider Web Envelops Texas Park {img:images/States2017/MD/MD_5thGr_2012_3.png} Entomologists are debating the origin and rarity of a sprawling spider web that blankets several trees, shrubs and the ground along a 200-yard stretch of trail in a North Texas park. Officials at Lake Tawakoni State Park say the massive mosquito trap is a big attraction for some visitors, while others will not go anywhere near it. ""At first, it was so white it looked like fairyland,"" said Donna Garde, superintendent of the park about 45 miles east of Dallas. ""Now it's filled with so many mosquitoes that it's turned a little brown. There are times you can literally hear the screech of millions of mosquitoes caught in those webs."" Spider experts say the web may have been constructed by social cobweb spiders, which work together, or could be the result of a mass dispersal in which the arachnids spin webs to spread out from one another. ""I've been hearing from entomologists from Ohio, Kansas, British Columbia-all over the place,"" said Mike Quinn, an invertebrate biologist with the Texas Parks and Wildlife Department who first posted photos online. Herbert A. ""Joe"" Pase, a Texas Forest Service entomologist, said the massive web is very unusual. ""From what I'm hearing it could be a once-in-a-lifetime event,"" he said. But John Jackman, a professor and extension entomologist for Texas A&M University, said he hears reports of similar webs every couple of years. ""There are a lot of folks that don't realize spiders do that,"" said Jackman, author of ""A Field Guide to the Spiders and Scorpions of Texas."" ""Until we get some samples sent to us, we really won't know what species of spider we're talking about,"" Jackman said. Garde invited the entomologists out to the park to get a firsthand look at the giant web. ""Somebody needs to come out that's an expert. I would love to see some entomology intern come out and study this,"" she said. Park rangers said they expect the web to last until fall, when the spiders will start dying off. The characteristic of the social cobweb spiders that helps them survive is the ability to",5,science,Dev
C,MSA_2013_5_21,fast erosion by wind,fast weathering by wind,slow erosion by moving water,slow weathering by moving water,Students observed a creek during a field trip to a local nature center. A nature center guide explained that natural processes had formed the creek and reshaped the surface of Earth along the creek. {img:images/States2017/MD/MD_5thGr_2013_10.png} Students compared their observations of the creek with the diagram of the Grand Canyon below. {img:images/States2017/MD/MD_5thGr_2013_11.png} Which process best describes how the Grand Canyon was formed?,5,science,Dev
D,MSA_2013_5_26,the barn owl,the cardinal,the bald eagle,the wood duck,"Over time, a woodland pond filled with sediment. The habitats and food sources of four different birds are shown in the table below. {img:images/States2017/MD/MD_5thGr_2013_19.png} Which bird would most likely need to find a similar habitat in a new location after the pond fills with sediment?",5,science,Dev
C,TIMSS_1995_4_pg45,{img:images/States2017/TIMSS/TIMS_4thGr_1995_35.png},{img:images/States2017/TIMSS/TIMS_4thGr_1995_36.png},{img:images/States2017/TIMSS/TIMS_4thGr_1995_37.png},{img:images/States2017/TIMSS/TIMS_4thGr_1995_38.png},Which picture does NOT show an insect?,4,science,Dev
B,TIMSS_1995_4_pg9,Town A,Town B,Town C,Town D,This table shows the temperature and precipitation (rain or snow) in four different towns on the same day. {img:images/States2017/TIMSS/TIMS_4thGr_1995_1.png} Where did it snow?,4,science,Dev
C,TIMSS_2003_4_pg49,Figures 1 and 3,Figures 2 and 3,Figures 1 and 4,"Figures 1, 2, 3, and 4",{img:images/States2017/TIMSS/TIMSS_2003_4thGr_26.png} Which of the figures above shows a situation where two magnets repel each other?,4,science,Dev
A,TIMSS_2003_4_pg55,1 and 3 only,1 and 4 only,2 and 4 only,3 and 4 only,Which of these are insects? {img:images/States2017/TIMSS/TIMSS_2003_4thGr_34.png},4,science,Dev
B,TIMSS_2003_4_pg69,Location A,Location B,Location C,Location D,{img:images/States2017/TIMSS/TIMSS_2003_4thGr_42.png} Look at the picture above. Where is the best location to grow crops?,4,science,Dev
A,TIMSS_2007_4_pg73,{img:images/States2017/TIMSS/TIMSS_4thGr_2007_29.png},{img:images/States2017/TIMSS/TIMSS_4thGr_2007_30.png},{img:images/States2017/TIMSS/TIMSS_4thGr_2007_31.png},{img:images/States2017/TIMSS/TIMSS_4thGr_2007_32.png},Which pie chart shows the proportions of land and water on Earth?,4,science,Dev
C,TIMSS_2011_4_pg28,The sunlight warms that part of the lake.,The sky spreads sunlight over the lake.,The sunlight reflects off the lake water.,Clouds reflect sunlight into the lake.,Alice watches a sunrise from across a calm lake. She sees a sun in the sky and a sun in the lake as shown below. {img:images/States2017/TIMSS/TIMSS_4thGr_2011_12.png} Why does Alice see a sun in the lake?,4,science,Dev
A,WASL_2003_5_1,The height the toy car starts,The weight of the toy car,The angle of the ramp,,"Jane liked roller coasters, so she decided to investigate how loop-the-loops worked. She did the following investigation with the ramp and toy car shown in the diagram below. {img:images/States2017/WA/WA_5thGr_2003_1.png} Question: How high does a toy car need to be released for the toy car to travel completely around a loop? Prediction: The toy car needs to be almost 20 cm up the ramp to travel around the loop. Materials: ramp toy car meter stick to measure height in centimeters (cm) Procedure: 1. Mark the ramp at heights 5, 10, 15, 20, and 25 cm and record the heights in the data table. 2. Release the toy car from each height. 3. In the data table, record the car's motion in the loop. Data: {img:images/States2017/WA/WA_5thGr_2003_2.png} Which variable did Jane change (manipulate)?",5,science,Dev
A,WASL_2003_5_2,Release the car higher on the ramp,Increase the width of the track,Change the size of the loop,,"Jane liked roller coasters, so she decided to investigate how loop-the-loops worked. She did the following investigation with the ramp and toy car shown in the diagram below. {img:images/States2017/WA/WA_5thGr_2003_1.png} Question: How high does a toy car need to be released for the toy car to travel completely around a loop? Prediction: The toy car needs to be almost 20 cm up the ramp to travel around the loop. Materials: ramp toy car meter stick to measure height in centimeters (cm) Procedure: 1. Mark the ramp at heights 5, 10, 15, 20, and 25 cm and record the heights in the data table. 2. Release the toy car from each height. 3. In the data table, record the car's motion in the loop. Data: {img:images/States2017/WA/WA_5thGr_2003_2.png} What could Jane do to give the car more energy?",5,science,Dev
B,WASL_2003_5_3,The toy car would have too little speed to travel completely around the loop.,The toy car would have enough speed to travel completely around the loop.,The toy car would have too much speed to travel completely around the loop.,,"Jane liked roller coasters, so she decided to investigate how loop-the-loops worked. She did the following investigation with the ramp and toy car shown in the diagram below. {img:images/States2017/WA/WA_5thGr_2003_1.png} Question: How high does a toy car need to be released for the toy car to travel completely around a loop? Prediction: The toy car needs to be almost 20 cm up the ramp to travel around the loop. Materials: ramp toy car meter stick to measure height in centimeters (cm) Procedure: 1. Mark the ramp at heights 5, 10, 15, 20, and 25 cm and record the heights in the data table. 2. Release the toy car from each height. 3. In the data table, record the car's motion in the loop. Data: {img:images/States2017/WA/WA_5thGr_2003_2.png} Instead of just releasing the toy car from a height of 10 cm, Jane pushed it. What most likely would happen?",5,science,Dev
B,WASL_2003_5_4,6-9 cm,11-14 cm,16-19 cm,,"Jane liked roller coasters, so she decided to investigate how loop-the-loops worked. She did the following investigation with the ramp and toy car shown in the diagram below. {img:images/States2017/WA/WA_5thGr_2003_1.png} Question: How high does a toy car need to be released for the toy car to travel completely around a loop? Prediction: The toy car needs to be almost 20 cm up the ramp to travel around the loop. Materials: ramp toy car meter stick to measure height in centimeters (cm) Procedure: 1. Mark the ramp at heights 5, 10, 15, 20, and 25 cm and record the heights in the data table. 2. Release the toy car from each height. 3. In the data table, record the car's motion in the loop. Data: {img:images/States2017/WA/WA_5thGr_2003_2.png} What heights should Jane check to find the lowest possible release height to make the car travel completely around the loop?",5,science,Dev
B,WASL_2005_5_12,Binoculars,Hand lens,Thermometer,,Which scientific tool gives you the most useful information while studying the objects shown below? {img:images/States2017/WA/WA_5thGr_2005_3.png},5,science,Dev
D,AKDE&ED_2008_4_31,{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2008-4-26.png},{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2008-4-27.png},{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2008-4-28.png},{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2008-4-29.png},Students planted one hundred flower seeds. They observed the growth of their plants once a week. Which tool could be used to record their observations?,4,,Dev
C,AKDE&ED_2008_4_4,{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2008-4-5.png},{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2008-4-6.png},{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2008-4-7.png},{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2008-4-8.png},Which organism needs to make its own food?,4,,Dev
B,AKDE&ED_2012_4_24,{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2012-4-23.png},{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2012-4-24.png},{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2012-4-25.png},{img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2012-4-26.png},The chart shows observations of the Moon. {img:images/StatesDMC-DA/Alaska/4thGr/Alaska-2012-4-22.png} Which drawing shows how the Moon would most likely appear on day 13?,4,,Dev
A,CSZ_2009_5_18,The balloon will be attracted to the rod.,The balloon will be repelled by the rod.,The balloon will remain in place.,The balloon will spin in circles.,A balloon has a negative charge. A glass rod has a positive charge. {img:images/StatesDMC-DA/California/5thGr/California-2009-5-11.png} What will happen when the glass rod is brought near the balloon?,5,,Dev
B,CSZ_2009_5_69,They can fly.,They have feathers.,They have webbed feet.,They eat worms.,The picture below shows several different birds. {img:images/StatesDMC-DA/California/5thGr/California-2009-5-36.png} What characteristic do all birds share?,5,,Dev
C,MCAS_2010_5_16,{img:images/StatesDMC-DA/MCAS/5thGr/MCAS-5-2010-8.png},{img:images/StatesDMC-DA/MCAS/5thGr/MCAS-5-2010-9.png},{img:images/StatesDMC-DA/MCAS/5thGr/MCAS-5-2010-10.png},{img:images/StatesDMC-DA/MCAS/5thGr/MCAS-5-2010-11.png},In which circuit are both bulbs lit?,5,,Dev
C,MCAS_2011_5_6,Fruits and roots will develop.,Seeds and stems will develop.,Stems and leaves will develop.,Flowers and fruits will develop.,"The drawing below shows a plant during the early development stage in its life cycle. {img:images/StatesDMC-DA/MCAS/5thGr/MCAS-5-2011-6.png} Under normal conditions, which of the following will occur next as the plant continues to grow?",5,,Dev
D,MCAS_2013_5_16,runoff from inland mountains,flooding from rivers and streams,groundwater bubbling to the surface,evaporation from the surface of the ocean,The map below shows the location of South Carolina. {img:images/StatesDMC-DA/MCAS/5thGr/MCAS-5-2013-14.png} South Carolina is humid during the summer months. Which of the following is the most likely cause of the humid conditions?,5,,Dev
D,MCAS_2015_5_18,pulley,wedge,inclined plane,wheel and axle,The picture below shows a wind-up toy train. The key on the side of the train is turned to wind up the toy. {img:images/StatesDMC-DA/MCAS/5thGr/MCAS-5-2015-14.png} The key used to wind up the train is an example of which simple machine?,5,,Dev
A,MDSA_2007_5_1,{img:images/StatesDMC-DA/Maryland/5thGr/Maryland-2007-5-1.png},{img:images/StatesDMC-DA/Maryland/5thGr/Maryland-2007-5-2.png},{img:images/StatesDMC-DA/Maryland/5thGr/Maryland-2007-5-3.png},{img:images/StatesDMC-DA/Maryland/5thGr/Maryland-2007-5-4.png},Fossils are the evidence of organisms that lived long ago. Which of these animals would most likely form a fossil?,5,,Dev
D,MDSA_2007_5_48,the type of skin,the number of legs,the size of the eyes,the location of the mouth,Each of the animals below belongs to a different group. {img:images/StatesDMC-DA/Maryland/5thGr/Maryland-2007-5-30.png} Which physical feature classifies all four animals into the same group?,5,,Dev
B,MDSA_2009_5_45,{img:images/StatesDMC-DA/Maryland/5thGr/Maryland-2009-5-22.png},{img:images/StatesDMC-DA/Maryland/5thGr/Maryland-2009-5-23.png},{img:images/StatesDMC-DA/Maryland/5thGr/Maryland-2009-5-24.png},{img:images/StatesDMC-DA/Maryland/5thGr/Maryland-2009-5-25.png},Some organisms require little water to live. Which organism is least likely affected by a drought?,5,,Dev
B,MEA_2010_5_1,{img:images/StatesDMC-DA/MEA/5thGr/MEA-5-2010-1.png},{img:images/StatesDMC-DA/MEA/5thGr/MEA-5-2010-2.png},{img:images/StatesDMC-DA/MEA/5thGr/MEA-5-2010-3.png},{img:images/StatesDMC-DA/MEA/5thGr/MEA-5-2010-4.png},Which organism has only one cell?,5,,Dev
A,MEA_2010_5_7,organism A,organism B,organism C,organism D,The picture below shows organisms that live in the ocean. {img:images/StatesDMC-DA/MEA/5thGr/MEA-5-2010-6.png} Which organism makes its own food?,5,,Dev
A,NCEOGA_2013_5_23,paper clip,piece of paper,eraser,rubber ball,"A student uses a rubber band to launch the four objects shown in the table. {img:images/StatesDMC-DA/NorthCarolina/5thGr/NC-5-2013-5.png} If the student pulls the rubber band back the same amount each time, which object will most likely move the fastest when launched?",5,,Dev
D,NYSEDREGENTS_2014_4_12,magnetic,chemical,mechanical,heat,"The diagram below shows a toaster. {img:images/NYSEDREGENTS/2014_4th_Grade/02.PNG} In order to toast a slice of bread, the toaster changes electrical energy into which other type of energy?",4,,Dev
C,NYSEDREGENTS_2014_4_15,pulley,lever,inclined plane,balance,"Base your answer on the diagram below and on your knowledge of science. The diagram shows a person in a wheelchair, using a ramp to enter a building. {img:images/NYSEDREGENTS/2014_4th_Grade/03.PNG} The ramp in the diagram is an example of which simple machine?",4,,Dev
D,NYSEDREGENTS_2014_4_16,heat,light,magnetic,mechanical,"Base your answer on the diagram below and on your knowledge of science. The diagram shows a person in a wheelchair, using a ramp to enter a building. {img:images/NYSEDREGENTS/2014_4th_Grade/03.PNG} Which type of energy is the person using to move the wheelchair up the ramp?",4,,Dev
C,NYSEDREGENTS_2014_4_23,A,B,C,D,"The four bean seeds in the diagram below were planted on different days. Each seed was planted in the same kind of soil and pot. The seeds were given the same amounts of sunlight and water each day. The diagram shows all four pots on the same day. The pots are labeled A, B, C, and D. {img:images/NYSEDREGENTS/2014_4th_Grade/04.PNG} Based on the growth and development of the four bean seeds, which one most likely was planted before the other three?",4,,Dev
